ucid(call_id),agent_ldap_id(agent_id),call_created_on(call_date_time),call_type,incident_id,status_during_thread_entry(status_thread),incident_created_at(incident_date_time),thread_created_at,queue_during_thread_entry(queue_thread),seller_id,centre_name,issue_type,current_issue_type,call_duration,current_status,current_queue(queue_name),current_partner(partner_location),evaluator,evaluator_id,sup_id,company
6.78911E+18,seminacspune.851208,27-07-2017 09:00,INBOUND,IN1707270903207280523,Solved,27-07-2017 09:03,27-07-2017 09:04,SE_Minacs_Pune_L1 Calls,68bf97267c00464d,MINACS_PNQ,Payments General Queries/Clarifications,Payments General Queries/Clarifications,242,Solved,SE_Minacs_Pune_L1 Calls,Minacs Pune,,,MK00226,FK
6.02523E+15,seigs.337647,27-07-2017 09:01,INBOUND,IN1707270902350005218,Solved,27-07-2017 09:02,27-07-2017 09:05,Seller Support,6d76e1858b6f462a,SERCO_BLR,All other Orders related Query,All other Orders related Query,0,Solved,Seller Support,IGS/Serco Bangalore,,,MK00102,MK
